ID,여정단계,화면,영역/컴포넌트,위치(파일:라인),문구유형,노출조건/트리거,"현재 문구 (ASIS)
❌ 절대 편집 금지 ❌",동적변수,최종본,비고,"글자수·공간제약
기존 글자수를 유지하는 방향으로",상태
366,4,방 입장,SessionRestorer,components/room/SessionRestorer.tsx:76,확인다이얼로그,세션 복귀,진행 중인 집중 세션이 있습니다.,,수감 중인 방이 있어요.,재진입 복귀 안내,,
367,4,방 입장,SessionRestorer,components/room/SessionRestorer.tsx:77,확인다이얼로그,세션 복귀 설명,[{activeRoom.title}] 방으로 복귀하시겠습니까?,{title},[{activeRoom.title}] 방으로 복귀하시겠어요?,,,
368,4,방 입장,SessionRestorer,components/room/SessionRestorer.tsx:78,버튼,복귀,복귀하기,,(제거됨),제거,,
369,4,방 입장,SessionRestorer,components/room/SessionRestorer.tsx:79,버튼,무시,무시하기,,(제거됨),제거,,
370,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:69,토스트/알림,방 미참여,방에 참여하지 않으셨습니다.,,방에 참여하지 않았어요.,소켓 에러(여러 화면 공유),,
371,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:72,토스트/알림,이미 집중 단계,이미 집중 페이즈입니다.,,이미 진행 중인 방이예요.,페이즈' 외래어 순화 검토,,
372,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:76,토스트/알림,종료된 방,이미 종료된 방입니다.,,이미 종료된 방이예요.,,,
373,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:80,토스트/알림,중복 접속,다른 곳에서 접속했습니다.,,다른 환경에서의 로그인이 감지되었어요.,,,
374,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:88,토스트/알림,방 종료(서버 사유 우선),방이 종료되었습니다.,{reason},방이 종료되었어요.,서버 reason 있으면 그 문구 우선 노출,,
375,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:118,토스트/알림,강퇴,방장에 의해 강퇴되었습니다.,,방장에 의해 강퇴되었어요.,,,
376,0,공통,format(시간단위),lib/format.ts:9-11,결과표시,모든 소요시간 표기,{h}시간 {m}분 {s}초,{h/m/s},,formatDuration — 전 화면 공유 단위(시간/분/초),,
